Login,PW 2,PW 3,PW 4,PW 5,PW 6,PW 7,PW 8,Average,Midterm,Final
,17.83,18.50,12.17,11.25,4.22,17.58,,13.59,17.49,
,20.00,18.50,14.50,19.00,20.00,16.13,,18.02,12.98,
,20.00,20.00,18.00,20.00,20.00,19.68,,19.61,18.00,
,16.39,16.50,19.67,20.00,19.13,16.29,,18.00,18.24,
,16.96,19.25,11.67,14.00,8.70,16.13,,14.45,13.85,
,20.00,20.00,19.00,19.50,20.00,11.23,,18.29,19.97,
,7.83,10.75,5.17,0.00,0.00,0.00,,3.96,20.00,
,12.39,18.00,13.33,15.00,0.00,8.95,,11.28,18.60,
,20.00,20.00,17.33,14.00,12.17,15.81,,16.55,12.72,
,18.26,15.00,8.50,19.50,9.57,12.90,,13.95,8.03,
,18.91,11.50,18.33,20.00,18.26,14.84,,16.97,12.25,
,18.04,17.75,8.50,15.80,13.04,17.10,,15.04,16.98,
,16.74,18.50,0.00,17.00,18.26,14.52,,14.17,20.00,
,20.00,16.00,17.33,20.00,18.70,20.00,,18.67,18.91,
,14.35,9.50,13.00,5.50,2.61,4.52,,8.25,17.73,
,16.09,17.75,5.33,18.60,12.17,13.71,,13.94,11.27,
,19.78,20.00,15.67,20.00,17.39,17.58,,18.40,16.77,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,17.83,4.75,15.67,20.00,15.65,15.32,,14.87,16.63,
,17.39,15.75,18.17,6.00,12.17,13.87,,13.89,15.82,
,20.00,20.00,17.50,20.00,20.00,19.03,,19.42,19.95,
,17.17,19.25,20.00,20.00,20.00,18.87,,19.22,20.00,
,8.70,18.00,10.83,18.00,11.30,16.94,,13.96,15.13,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.13,19.75,13.83,20.00,20.00,0.00,,15.45,19.97,
,20.00,18.50,0.00,20.00,18.26,19.35,,16.02,19.03,
,15.43,11.50,11.83,14.00,1.74,2.10,,9.43,12.00,
,20.00,19.25,18.17,17.00,15.65,11.77,,16.97,15.51,
,17.83,19.25,0.00,18.00,13.70,13.06,,13.64,18.57,
,18.26,14.75,19.33,20.00,20.00,14.52,,17.81,19.55,
,8.43,3.50,7.00,9.00,8.26,0.00,,6.03,16.97,
,14.87,9.50,7.00,0.00,8.26,7.10,,7.79,14.28,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.78,19.00,19.00,20.00,13.91,13.23,,17.49,18.11,
,20.00,19.00,17.50,20.00,20.00,15.48,,18.66,19.91,
,19.57,18.50,14.00,20.00,20.00,18.39,,18.41,19.54,
,10.87,14.75,6.83,10.50,2.61,11.29,,9.48,14.80,
,18.70,19.25,17.33,20.00,20.00,15.97,,18.54,9.97,
,12.11,7.50,12.33,4.00,6.96,3.87,,7.79,19.00,
,17.17,17.50,14.50,10.00,5.22,8.06,,12.08,13.67,
,19.57,18.25,19.33,20.00,20.00,14.35,,18.58,19.92,
,18.00,18.00,20.00,20.00,20.00,18.06,,19.01,19.99,
,11.74,18.00,19.17,20.00,13.00,13.48,,15.90,16.63,
,18.70,14.00,9.50,20.00,7.83,20.00,,15.00,9.00,
,18.26,20.00,19.17,15.50,15.65,9.03,,16.27,14.06,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,20.00,17.50,15.50,15.50,20.00,16.13,,17.44,17.97,
,13.91,16.75,17.33,18.00,7.83,16.77,,15.10,16.00,
,18.26,16.00,11.83,20.00,8.70,7.90,,13.78,8.88,
,11.09,17.00,0.00,0.00,15.65,5.81,,8.26,19.98,
,16.96,16.00,17.00,2.00,17.39,15.48,,14.14,18.23,
,16.30,4.00,16.17,6.00,9.93,0.00,,8.73,15.52,
,18.50,3.75,7.83,12.00,9.74,14.52,,11.06,13.98,
,20.00,13.00,19.67,20.00,16.26,16.45,,17.56,19.92,
,19.78,18.50,17.17,12.00,10.87,11.61,,14.99,13.57,
,16.30,16.25,18.33,20.00,12.17,9.35,,15.40,15.22,
,20.00,17.50,20.00,20.00,20.00,16.77,,19.05,17.47,
,15.37,18.75,15.50,19.50,6.70,20.00,,15.97,15.00,
,18.26,19.25,15.50,7.00,15.65,17.74,,15.57,19.27,
,20.00,20.00,20.00,20.00,20.00,18.71,,19.78,20.00,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,17.61,18.50,18.00,10.00,14.78,19.19,,16.35,17.09,
,13.00,19.25,11.33,12.00,8.70,14.84,,13.19,13.98,
,20.00,17.00,19.33,20.00,20.00,18.55,,19.15,19.40,
,15.00,15.00,6.00,7.00,7.39,11.55,,10.32,15.50,
,20.00,16.00,17.17,20.00,17.83,16.74,,17.96,18.94,
,12.83,12.75,4.17,15.50,18.26,13.23,,12.79,9.28,
,14.35,11.50,11.17,8.00,0.00,0.00,,7.50,20.00,
,18.91,20.00,16.00,12.00,20.00,16.13,,17.17,19.00,
,18.04,20.00,11.67,20.00,12.17,20.00,,16.98,15.25,
,17.98,14.00,7.00,5.00,2.61,11.94,,9.75,,
,16.52,5.50,14.33,0.00,0.00,0.00,,6.06,17.90,
,7.39,14.50,12.67,8.00,12.17,12.90,,11.27,10.13,
,12.41,15.50,17.67,20.00,13.91,10.81,,15.05,18.50,
,2.57,0.00,12.00,8.00,0.00,14.52,,6.18,15.00,
,15.61,0.00,9.50,18.00,13.91,16.13,,12.19,16.09,
,15.39,8.00,11.00,0.00,0.00,0.00,,5.73,6.48,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,13.70,12.25,7.33,20.00,14.78,7.74,,12.63,2.31,
,20.00,20.00,17.83,20.00,20.00,17.74,,19.26,18.00,
,13.04,12.75,13.67,20.00,1.74,16.45,,12.94,8.08,
,12.83,16.00,7.33,4.50,18.26,7.10,,11.00,,
,17.61,19.50,17.17,20.00,16.96,19.35,,18.43,15.89,
,14.93,17.75,16.00,20.00,12.17,11.61,,15.41,19.69,
,16.70,1.00,0.00,6.00,6.30,2.52,,5.42,9.50,
,16.70,16.50,16.83,19.75,18.26,14.84,,17.15,18.60,
,12.83,18.25,10.17,17.75,16.09,6.71,,13.63,18.82,
,20.00,19.50,18.00,19.00,18.26,16.29,,18.51,19.95,
,19.13,14.50,14.33,20.00,20.00,15.81,,17.30,15.89,
,11.30,13.00,20.00,16.00,18.02,18.06,,16.07,17.10,
,17.57,20.00,10.67,1.00,0.00,0.00,,8.21,18.92,
,19.00,19.25,20.00,20.00,20.00,19.68,,19.65,20.00,
,12.83,19.25,18.00,20.00,20.00,16.77,,17.81,19.63,
,4.74,4.00,7.33,8.00,1.74,0.00,,4.30,16.88,
,18.48,18.00,10.33,20.00,11.91,10.10,,14.80,8.06,
,15.37,10.25,17.33,19.00,6.46,11.61,,13.34,16.86,
,9.35,6.00,7.33,4.00,0.00,0.00,,4.45,16.75,
,16.70,19.00,12.00,20.00,13.04,4.84,,14.26,18.98,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,15.65,15.00,12.17,20.00,0.00,16.13,,13.16,13.02,
,15.00,20.00,13.33,20.00,12.17,9.03,,14.92,18.12,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.35,17.25,10.00,14.50,12.17,13.55,,14.47,15.54,
,20.00,17.25,20.00,20.00,18.70,18.39,,19.06,19.98,
,15.17,12.25,6.00,15.00,9.57,4.19,,10.36,9.41,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.78,20.00,17.17,20.00,9.57,8.32,,15.81,15.25,
,16.52,15.25,15.17,19.00,20.00,17.74,,17.28,12.98,
,19.13,18.00,9.33,20.00,10.43,15.16,,15.34,10.13,
,18.91,15.50,19.33,19.00,19.13,17.26,,18.19,18.91,
,16.04,17.25,16.17,20.00,8.70,15.81,,15.66,19.85,
,15.65,0.00,0.00,15.00,0.00,6.94,,6.26,11.22,
,14.78,15.75,20.00,20.00,17.26,5.32,,15.52,7.30,
,15.65,18.75,14.17,20.00,18.70,17.42,,17.45,13.23,
,15.22,18.00,18.17,20.00,20.00,17.42,,18.13,18.00,
,18.26,18.50,18.00,20.00,14.78,16.94,,17.75,15.07,
,16.74,17.00,14.00,19.00,8.91,16.77,,15.40,14.77,
,19.13,16.50,6.67,20.00,5.22,12.26,,13.30,13.97,
,20.00,19.25,20.00,14.00,20.00,16.61,,18.31,16.13,
,18.48,20.00,18.67,20.00,18.26,19.19,,19.10,19.21,
,14.50,15.50,17.17,20.00,0.00,19.03,,14.37,15.73,
,16.74,15.00,19.17,19.50,1.74,9.03,,13.53,6.00,
,13.22,12.25,7.33,10.00,12.17,0.00,,9.16,14.13,
,15.30,19.00,13.00,20.00,7.83,13.87,,14.83,17.97,
,20.00,16.00,8.17,10.00,10.43,14.19,,13.13,9.00,
,12.17,0.00,11.33,14.00,0.00,6.94,,7.41,11.13,
,16.30,18.50,10.83,13.50,13.91,13.23,,14.38,15.72,
,17.83,18.00,18.00,20.00,20.00,7.74,,16.93,18.77,
,18.70,19.25,18.33,20.00,20.00,15.00,,18.55,20.00,
,18.04,18.50,19.00,20.00,0.00,0.00,,12.59,18.33,
,11.70,20.00,13.50,12.50,17.26,0.00,,12.49,17.00,
,18.26,20.00,18.17,20.00,20.00,17.74,,19.03,16.58,
,17.39,17.25,18.17,20.00,1.74,11.29,,14.31,19.98,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,18.70,18.00,6.67,20.00,6.09,9.29,,13.12,9.00,
,13.91,18.50,11.00,13.00,19.04,4.68,,13.36,10.00,
,17.39,16.00,19.00,17.75,7.39,7.42,,14.16,11.14,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,16.30,19.25,17.17,16.25,1.74,11.77,,13.75,14.98,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,17.17,7.00,13.17,9.00,1.74,3.81,,8.65,6.98,
,14.13,9.00,17.00,0.00,17.39,0.00,,9.59,9.74,
,18.70,18.00,13.33,20.00,12.17,16.13,,16.39,3.17,
,18.26,16.50,20.00,15.75,20.00,15.81,,17.72,19.55,
,18.26,17.50,0.00,20.00,15.65,15.48,,14.48,18.11,
,13.04,20.00,13.83,20.00,20.00,1.29,,14.69,15.02,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,
,3.48,20.00,9.33,20.00,7.83,10.65,,11.88,10.97,
,18.70,19.50,7.50,18.00,11.67,13.55,,14.82,16.97,
,10.00,17.25,16.33,17.00,11.52,7.74,,13.31,13.54,
,19.13,14.50,17.67,18.50,11.74,6.45,,14.66,13.74,
,17.39,18.50,18.00,19.50,7.26,12.90,,15.59,19.94,
,18.26,20.00,9.83,20.00,7.83,17.74,,15.61,15.94,
,20.00,19.25,8.17,17.50,7.83,15.48,,14.70,13.80,
,17.61,11.50,8.00,7.80,12.17,0.00,,9.51,15.36,
,19.35,18.50,12.50,16.00,7.13,10.65,,14.02,10.01,
,10.83,19.00,20.00,16.25,13.91,0.00,,13.33,14.33,
,3.26,0.00,8.00,10.00,0.00,0.00,,3.54,11.00,
,13.04,18.25,14.47,18.50,15.65,10.65,,15.09,16.73,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,15.65,19.25,9.00,10.00,6.52,6.06,,11.08,0.00,
,18.26,0.00,8.33,7.50,0.00,0.00,,5.68,9.18,
,17.83,14.00,12.50,20.00,0.00,4.52,,11.47,16.00,
,15.22,16.50,10.00,7.00,1.17,13.23,,10.52,17.70,
,17.61,18.00,16.17,20.00,20.00,13.23,,17.50,19.75,
,14.35,14.50,4.00,7.50,1.39,0.00,,6.96,19.97,
,12.61,7.50,0.00,20.00,5.22,15.48,,10.13,15.76,
,18.04,15.25,20.00,19.50,19.13,15.65,,17.93,17.00,
,20.00,17.50,16.00,16.50,18.26,15.48,,17.29,11.04,
,19.13,19.50,13.17,19.50,7.33,15.97,,15.77,18.97,
,18.70,17.00,13.67,17.50,13.70,0.81,,13.56,18.63,
,10.43,18.50,19.67,19.50,13.91,0.00,,13.67,9.00,
,14.09,0.00,0.00,10.50,20.00,18.71,,10.55,14.94,
,18.70,18.50,16.17,18.75,18.26,11.61,,17.00,14.00,
,15.65,0.00,9.00,20.00,11.91,12.90,,11.58,17.75,
,6.96,0.00,1.33,16.00,0.74,8.48,,5.59,10.45,
,20.00,8.50,19.33,8.00,12.17,16.29,,14.05,7.01,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.13,20.00,18.17,20.00,20.00,17.74,,19.17,19.27,
,20.00,20.00,18.00,17.50,20.00,20.00,,19.25,18.65,
,18.04,19.00,16.67,20.00,17.83,14.61,,17.69,19.51,
,15.22,19.00,20.00,20.00,20.00,18.55,,18.79,16.88,
,19.13,20.00,19.33,20.00,20.00,17.42,,19.31,17.67,
,18.04,15.00,7.83,5.50,0.00,0.00,,7.73,10.97,
,11.74,7.25,7.33,20.00,18.26,11.61,,12.70,15.97,
,9.57,17.75,10.00,0.00,0.00,7.58,,7.48,17.14,
,14.57,12.25,14.33,20.00,12.09,13.87,,14.52,11.68,
,13.48,15.00,10.67,13.75,7.83,11.13,,11.98,14.92,
,17.39,18.75,11.00,19.00,13.91,18.06,,16.35,7.88,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,7.17,17.00,17.83,19.50,10.30,7.74,,13.26,16.22,
,18.48,19.25,13.67,9.50,14.93,13.89,,14.95,16.00,
,13.57,14.50,15.50,7.50,4.35,11.29,,11.12,15.19,
,13.04,1.25,9.67,12.50,5.22,14.52,,9.37,7.10,
,17.83,14.25,5.33,7.00,12.17,12.35,,11.49,18.00,
,15.87,19.25,12.50,20.00,6.52,8.55,,13.78,17.87,
,16.52,20.00,15.33,10.00,4.13,12.26,,13.04,16.28,
,16.96,11.25,15.00,20.00,11.30,8.65,,13.86,13.00,
,17.17,20.00,6.67,10.00,10.00,15.81,,13.27,15.21,
,17.70,15.00,10.00,20.00,9.57,0.00,,12.04,17.51,
,7.70,10.25,1.33,4.50,3.72,7.74,,5.87,19.00,
,20.00,20.00,13.50,10.00,4.22,10.32,,13.01,15.05,
,16.96,18.00,17.67,18.25,11.30,14.03,,16.03,10.12,
,18.13,17.00,17.00,8.00,10.00,11.27,,13.57,14.83,
,19.57,18.50,18.50,18.75,16.46,14.65,,17.74,18.54,
,16.74,20.00,18.00,12.75,20.00,9.84,,16.22,19.67,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,18.70,19.25,19.67,18.00,20.00,15.48,,18.52,19.00,
,11.17,19.00,17.00,14.25,11.96,20.00,,15.56,14.81,
,16.52,18.50,17.67,20.00,13.91,18.39,,17.50,18.92,
,18.04,18.00,17.33,11.75,12.17,0.00,,12.88,10.06,
,19.13,18.50,9.00,19.75,12.17,15.16,,15.62,4.64,
,14.09,6.00,12.00,13.50,18.70,0.00,,10.71,9.50,
,20.00,18.00,17.83,20.00,20.00,18.71,,19.09,18.48,
,20.00,0.00,18.83,20.00,20.00,18.39,,16.20,19.94,
,5.61,0.00,17.27,19.50,14.52,0.00,,9.48,15.99,
,11.70,10.25,17.33,8.50,2.61,8.06,,9.74,18.64,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,3.87,17.00,0.00,6.00,2.61,1.23,,5.12,7.72,
,13.04,19.00,12.67,19.00,20.00,6.45,,15.03,10.76,
,20.00,18.25,19.33,20.00,20.00,17.26,,19.14,19.81,
,18.26,20.00,13.33,17.50,20.00,6.45,,15.92,11.52,
,6.91,18.00,14.33,13.75,6.09,4.65,,10.62,10.97,
,18.26,20.00,16.50,20.00,7.83,17.10,,16.61,12.06,
,18.48,18.50,16.00,19.50,14.78,14.19,,16.91,20.00,
,16.74,16.25,9.33,8.25,5.59,5.48,,10.27,12.76,
,15.65,18.25,9.67,20.00,1.74,9.52,,12.47,13.97,
,13.48,19.25,15.33,11.25,12.17,17.26,,14.79,18.00,
,12.17,18.00,15.30,20.00,12.17,10.65,,14.72,16.67,
,19.35,16.00,16.67,8.00,5.22,3.23,,11.41,8.97,
,6.52,4.00,1.33,6.00,1.30,0.00,,3.19,4.14,
,18.26,20.00,13.33,18.00,4.35,15.81,,14.96,6.35,
,18.70,18.50,16.17,20.00,20.00,11.94,,17.55,18.00,
,17.61,20.00,17.17,20.00,20.00,18.87,,18.94,19.25,
,17.17,17.50,8.50,17.75,16.52,13.39,,15.14,11.97,
,15.37,18.50,10.83,11.50,7.83,8.06,,12.02,8.50,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,19.13,19.50,19.17,20.00,20.00,20.00,,19.63,18.45,
,19.78,17.00,8.67,8.00,13.04,14.48,,13.50,17.95,
,16.02,10.00,15.67,8.00,9.57,16.06,,12.55,0.09,
,18.04,20.00,20.00,19.50,19.50,20.00,,19.51,15.00,
,17.39,0.00,0.00,20.00,7.83,15.48,,10.12,19.98,
,0.00,0.00,0.00,18.50,3.91,4.84,,4.54,5.07,
,16.30,16.50,15.17,20.00,20.00,18.39,,17.73,19.01,
,15.39,18.00,15.17,20.00,12.17,12.74,,15.58,18.55,
,12.17,13.50,4.33,13.25,7.83,5.48,,9.43,9.15,
,12.39,20.00,11.17,20.00,18.26,18.71,,16.75,16.48,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,14.13,16.75,0.00,19.00,10.30,8.68,,11.48,6.31,
,16.96,18.50,10.17,19.75,20.00,19.35,,17.45,19.92,
,20.00,16.25,14.00,20.00,0.00,3.87,,12.35,15.68,
,17.39,15.00,6.67,4.00,7.39,7.10,,9.59,18.24,
,17.39,14.75,11.00,20.00,12.17,12.90,,14.70,6.08,
,15.65,20.00,17.83,20.00,20.00,14.03,,17.92,18.76,
,14.35,0.00,12.67,20.00,0.00,17.10,,10.69,3.13,
,19.13,20.00,20.00,20.00,20.00,17.74,,19.48,19.98,
,15.87,9.00,10.33,10.25,3.04,3.00,,8.58,5.03,
,9.35,17.00,11.83,14.00,20.00,11.61,,13.97,15.85,
,17.83,19.25,15.83,20.00,20.00,15.65,,18.09,19.95,
,13.26,0.00,12.50,16.00,7.83,8.39,,9.66,13.22,
,17.83,16.00,10.17,20.00,2.39,8.97,,12.56,12.01,
,6.83,15.00,13.33,20.00,3.04,8.39,,11.10,12.89,
,10.39,12.00,15.17,18.00,20.00,18.87,,15.74,18.97,
,18.48,13.50,14.33,19.50,8.70,0.00,,12.42,18.00,
,3.35,8.50,0.00,17.00,18.96,0.00,,7.97,4.11,
,14.78,13.00,11.33,20.00,11.30,4.52,,12.49,12.30,
,15.39,0.00,18.50,20.00,7.83,8.06,,11.63,17.55,
,19.13,18.50,12.67,20.00,15.65,17.10,,17.17,13.25,
,19.13,20.00,14.00,20.00,20.00,16.13,,18.21,16.02,
,17.39,16.75,18.33,15.00,20.00,0.00,,14.58,18.40,
,15.22,7.00,7.17,20.00,10.87,13.23,,12.25,19.97,
,13.78,13.25,17.50,20.00,20.00,17.26,,16.97,15.01,
,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,
,16.52,9.25,19.17,20.00,20.00,18.39,,17.22,15.00,
,17.39,18.00,12.67,6.00,12.17,16.77,,13.83,14.09,
,15.22,20.00,14.13,20.00,11.74,16.13,,16.20,5.88,
,12.13,20.00,19.17,19.25,12.17,12.03,,15.79,13.59,
,14.35,10.50,0.00,8.00,7.83,0.00,,6.78,14.10,
,19.78,16.50,15.67,19.75,19.00,13.81,,17.42,16.99,
,11.96,15.25,14.83,20.00,5.22,10.97,,13.04,16.00,
,5.61,20.00,7.33,13.25,10.43,14.13,,11.79,8.22,
