Login,PW 2,PW 3,PW 4,PW 5,PW 6,PW 7,Average,Midterm,Final
,17.83,15.00,18.00,12.25,8.32,0.00,11.90,11.22,10.57
,18.04,20.00,4.00,8.25,10.42,0.00,10.12,14.27,
,19.78,19.50,17.67,20.00,16.45,10.00,17.23,19.56,18.43
,18.48,17.25,20.00,15.00,3.81,16.33,15.15,16.43,20.00
,17.54,19.25,12.50,19.00,7.68,10.67,14.44,9.00,7.45
,,,,,,,,,
,18.00,13.50,17.67,0.00,18.85,14.00,13.67,16.00,8.35
,13.04,20.00,17.17,18.00,18.71,0.00,14.49,18.29,14.72
,16.91,17.00,20.00,19.75,17.74,16.00,17.90,16.21,17.97
,20.00,20.00,19.00,15.00,20.00,5.67,16.61,9.69,7.02
,18.26,19.00,18.00,20.00,19.00,9.00,17.21,14.59,13.88
,16.91,8.30,17.33,18.25,15.00,12.67,14.74,15.75,16.64
,16.91,20.00,20.00,11.25,15.97,20.00,17.36,14.13,8.78
,19.65,20.00,19.00,20.00,16.13,15.47,18.37,7.22,4.48
,15.83,10.50,0.00,18.00,7.94,0.00,8.71,10.25,6.55
